id,title,affiliation,comment,attachment_summary,attachment_affiliation
HHS-OCR-2019-0007-118219,Comment on FR Doc # 2019-11512,American Civil Liberties Union,There's a reason why the Health Care Rights Law exists. Transgender and non-binary people are continuously denied medically necessary health care and harassed by medical providers. The same goes for people who seek reproductive care - including abortion care.  Making it harder for historically marginalized groups of people to access critical health care is an act of violence. I demand that you drop this proposed rule and withdraw it in its entirety.,,
DOS-2014-0003-90097,Comment on DOS-2014-0003-0001,BKM Strategies,"Dear Secretary Kerry:<br/><br/>I'm writing to encourage you to approve the construction of the Keystone XL Pipeline as quickly as possible.  The pipeline will provide much needed, good paying jobs for our economy while ensuring our country’s energy and national security.<br/><br/>Please act now.  We cannot afford to wait any longer.",,
HHS-OS-2018-0008-125954,Comment on FR Doc # 2018-11673,Susan B. Anthony List,"To My senators and congressmen and anyone else to whom it may concern :<br/><br/>Today I write in strong support of the proposed rule titled: Compliance With Statutory Program Integrity Requirements (HHS-OS-2018-0008), also known as the Protect Life Rule.<br/><br/>The proposed rule seeks to reinstate Reagan-era prohibitions on Title X funding for abortion centers. Similar regulations were upheld by the Supreme Court in 1991 in Rust v. Sullivan (500 U.S. 173).<br/><br/>Abortion is not family planning. This rule would draw a bright line between abortion and family planning, as was clearly intended in the statute.<br/><br/>Currently 266 Planned Parenthood abortion centers are also federal Title X locations. Planned Parenthood is the nations largest abortion business and receives $50-$60 million a year from Title X. They should not be entitled to treat Title X as their personal slush fund. Research released by the Charlotte Lozier Institute in 2018 shows Planned Parenthood has inflated the U.S. abortion rate, controlling more than 35% of the abortion industry and resulting in more than three million extra abortions that could have been avoided.<br/><br/>American taxpayers do not want to be complicit in abortions through their taxpayer dollars. According to a January 2018 Marist poll, six in ten Americans oppose taxpayer funding of abortion. Money is fungible and tax dollars should be invested in comprehensive health care alternatives, not used as a slush fund to prop up the abortion industry.<br/><br/>It's important to note that the proposed rule will not reduce family planning funding by a single dollar. This rule would simply direct taxpayer funds to family planning providers who stay out of the abortion business. Women and girls are best served at alternative health care centers including community and rural health care centers that outnumber Planned Parenthood abortion facilities by more than 20 to 1 nationwide.<br/><br/>I strongly urge adoption of the rule.<br/>  Life is not a joke. It is not something to take lightly. Life is precious . We must strive to protect It ! <br/><br/>Sincerely,<br/><br/>Ellen Concannon<br/>New Jersey",,
DEA-2023-0029-30571,Comment on FR Doc # 2023-04248,Fulfilling Life,Restricting telemedicine prescribing is a disservice to patients as there are many hazards and roadblocks to patient in person healthcare appointments. Doing so overloads offices and will cause many patients ill outcomes and discontinuation of care.,,
HHS-OS-2018-0008-168937,Comment on FR Doc # 2018-11673,Faith & Freedom Coalition,"Im writing to officially register my strong support for the Compliance With Statutory Program Integrity Requirements (HHS-OS-2018-0008), better known as the Protect Life Rule. Under current federal regulations, abortion groups like Planned Parenthood are able to receive family planning funds under Title X. This new rule would end that funding. As a pro-life American I strongly believe that abortion groups should not receive taxpayer funds. And Im not alone: 82% of Americans believe there should be restrictions on abortion in some or all cases and 60% of Americans agree: taxpayers should not fund abortion. I urge you to stand with the American peopleand do whats rightby approving the Protect Life Rule as quickly as possible.",,
DOJ-CRT-2012-0006-0594,Comment on FR Doc # 2012-06747,Best Western Plus Ambassador Suites Venice,I am not opposed to haveing some sort of lift for ADA at our pool.  I feel that I can put one there upon request.  If there is one there at all times there will be an accident with a child.  People do not watch their children at public pools like we think they do.  In good faith we purchased a portable chair when the rule was first put out there.  We always act on a good idea.  The perminate lift is not a good idea and I would like to go on record that there will be a misshap at a pool because we were not dillegent to keep our children safe.  ,,
FAA-2015-6161-0002,Comment from xx xx,FAA,Please place the attached rejection letter in the docket.,,
NRC-2021-0137-0278,Comment (276) of Lliana Paul  on FR Doc # 2021-14673,Institute for Policy Integrity at NYU Law,The Institute for Policy Integrity at New York University School of Law respectfully submits the attached comments.,,
HHS-OCR-2019-0007-116102,Comment on FR Doc # 2019-11512,Susan B. Anthony List,"Dear Secretary Azar,<br/> <br/>I am writing in support of certain aspects of HHSOCR20190007, the proposed rule regarding section 1557 of the Affordable Care Act. The proposed rule eliminates an Obama-era definition of ""discrimination on the basis of sex"" designed to force healthcare providers to participate in brutal abortions.  Instead the proposed rule clearly articulates longstanding laws protecting the rights of health care entities like doctors, nurses and hospitals to abstain from involvement in abortion. I support these changes.<br/> <br/>The current Obama-era regulations implementing section 1557 define ""discrimination on the basis of sex"" to include ""termination of pregnancy"" in a manner that goes far beyond the statutory authority provided to the Secretary.  For this reason the regulations was challenged in Franciscan Alliance v. Burwell and a district court issued a nationwide injunction against it.<br/> <br/>The proposed rules provide much needed clarity regarding the freedom of health care workers and facilities to practice medicine in accordance with their own judgement. Americans need and want access to quality healthcare providers.  A vast majority of health care providers do not engage in abortion.  At a time when our nation needs more, not less, healthcare workers and facilities, it is unconscionable to force them to carry out abortions or leave the medical field.<br/> <br/>This is a matter of access to healthcare. Abortion is not healthcare, rather it is the taking of a vulnerable life. We must ensure that healthcare providers allowed to continue providing life-affirming care to millions of Americans.  I support the provisions of the proposed rule eliminating the definition of ""discrimination on the basis of sex"" that includes ""termination of pregnancy"" and the application of longstanding protections for healthcare entities that refuse to participate in abortion.<br/> <br/>Sincerely,<br/><br/>Robyn Loughran<br/>Indiana",,
EPA-HQ-OAR-2003-0138-0388,"Comment submitted by Matthew Krausmann, Senior Regulatory Affairs Manager, Allied Terminals Inc [A-98-13-II-D-130]",Allied Terminals Inc,see attachment,,
