id,organizaiton,individual
CFPB-2019-0006-151175,None,1
IRS-2023-0041-21293,None,1
IRS-2010-0022-7243,Goldman Kurland and Mohidin LLP,1
WHD-2022-0003-12673,None,1
OMB-2021-0005-0012,None,1
DOI-2017-0002-191130,None,1
CEQ-2019-0003-637404,None,1
BLM-2023-0005-67106,None,1
AMS-NOP-23-0026-2122,None,1
CEQ-2019-0003-697001,None,1
HHS-OS-2018-0008-143271,None,1
FWS-R4-ES-2014-0024-1787,None,1
HHS-OCR-2023-0001-24241,None,1
APHIS-2013-0043-0290,None,1
CFPB-2019-0006-84708,None,1
FWS-R9-ES-2010-0099-0170,None,1
FAA-2009-0714-0005,Embraer Continued Airworthiness,0
IRS-2020-0016-6591,None,1
COLC-2021-0009-0190,None,1
ED-2018-OPE-0027-12645,None,1
FDA-2018-D-4533-0456,None,1
WHD-2017-0003-201352,None,1
NHTSA-2002-11419-17930-0027,None,1
EPA-HQ-OAR-2009-0491-3240,Environmental Defense,0
BLM-2018-0001-142096,None,1
CFPB-2022-0003-47112,None,1
DOS-2023-0025-10024,None,1
FSIS-2016-0017-45289,None,1
NPS-2018-0007-12146,None,1
ED-2019-OPE-0080-8210,None,1
CMS-2020-0088-7263,None,1
HHS-OCR-2023-0001-5135,None,1
ETA-2019-0005-10781,None,1
HHS-OCR-2018-0028-1291,None,1
WHD-2022-0001-8074,None,1
FWS-HQ-ES-2021-0104-36734,None,1
DOT-OST-2016-0204-35764,None,1
FDA-2021-N-1349-84615,None,1
DARS-2015-0055-0369,None,1
DOI-2017-0002-469038,None,1
FWS-HQ-ES-2021-0104-17167,None,1
CMS-2012-0031-68966,None,1
BOEM-2022-0048-23803,None,1
HHS-OS-2019-0014-9405,None,1
IRS-2015-0049-21110,None,1
ETA-2023-0004-0656,None,1
CDC-2022-0111-8070,None,1
DOT-OST-2018-0068-21706,None,1
CFPB-2024-0032-41772,None,1
WHD-2017-0002-87514,None,1
NOAA-NMFS-2023-0027-27660,None,1
NOAA-NMFS-2023-0027-14265,None,1
FAA-2002-13378-1264,None,1
IRS-2017-0016-4441,None,1
DEA-2024-0059-16555,None,1
NIST-2023-0008-11918,None,1
FWS-HQ-ES-2013-0073-1900,None,1
DOI-2017-0002-131062,None,1
FWS-R9-ES-2007-0003-0031,Wyoming Farm Bureau Federation,0
FAA-2022-1001-18191,None,1
HHS-ONC-2019-0002-1313,American Immunization Registry Association;Association of Public Health Laboratories;Association of State and Territorial Health Officials;Council of State and Territorial Epidemiologists;International Society for Disease Surveillance;National Association of County and City Health Officials,0
FWS-R9-ES-2008-0093-40347,Center for Biological Diversity,1
OSM-2010-0018-10140,None,1
CMS-2016-0123-40852,None,1
EEOC-2023-0004-4281,None,1
FWS-HQ-ES-2021-0104-96866,None,1
FS-2023-0006-60648,None,1
WHD-2017-0003-145450,None,1
FDA-2019-D-0661-7387,None,1
CEQ-2019-0003-18461,None,1
FTC-2019-0054-54281,None,1
DOI-2017-0002-272092,None,1
EPA-HQ-OPP-2010-0384-0085,None,1
CEQ-2019-0003-535766,None,1
PHMSA-2021-0039-9393,None,1
ED-2021-OCR-0166-156520,None,1
FWS-R2-ES-2020-0007-18813,None,1
WHD-2017-0003-217688,None,1
ED-2018-OPE-0076-0311,None,1
BLM-2018-0001-136048,None,1
CEQ-2023-0003-67974,None,1
FDA-2021-N-1349-68204,None,1
CMS-2021-0124-18015,"Regeneron Pharmaceuticals, Inc.",0
CMS-2018-0051-0228,Providence St. Joseph Health,0
IRS-2023-0041-9716,None,1
OCC-2024-0006-1208,None,1
NPS-2018-0005-68296,None,1
OSHA-S775-2006-0926-0968,FERGUSON CONSTRUCTION CO,0
CEQ-2019-0003-679877,None,1
FDA-2021-N-1349-118699,None,1
FAR-2018-0051-2080,None,1
CEQ-2019-0003-613072,The Nature Conservancy,1
FWS-R9-ES-2008-0093-12357,Center for Biological Diversity,1
FDA-2023-N-2873-1398,None,1
VA-2022-VHA-0021-11916,None,1
WHD-2011-0003-0718,None,1
DOI-2017-0002-200474,None,1
CMS-2018-0090-2913,None,1
