id,title,comment,organization,agency,attachment
FWS-HQ-ES-2013-0073-37197,Submitted Electronically via eRulemaking Portal,"Wolves are Awesome they are part of the ecosystem . If we had not pushed into their territory they woudn't be a problem in the first place .  They are onley fighting a war we started . Wolves went  extienct , The onley reason you care now is because sheep and live stock are being hunted . Thats their fighting back . We started it we should just protect ourselves and livestock better keep wolves. They know when to stop hunting we dont, their  way is more sustainable . If there where no laws most animals would become extient . Pardon my spelling.",,,
EPA-HQ-OA-2017-0190-48332,Comment submitted by D. Pacelli,"I enjoy drinking clean water and breathing fresh air and would<br/>find it quite burdensome not to. <br/>Deanna Pacelli<br/>Oak Park Call To Action<br/>Oak Park, Il. 60304",,,
APHIS-2020-0115-3081,"Comment from Hogg, Juliet",No cormorant massacre please.,,,
NPS-2018-0005-54874,Comment on FR Doc # 2018-10735,"I am writing to respectfully encourage you not to move forward with this proposed rule (RIN 1024-AE38). <br/><br/>It would repeal a scientifically sound rule from 2015 prohibiting the use of some of the cruelest hunting tactics against predators on national preserves in Alaska. Such tactics include killing mother bears and cubs at den sites with the aid of artificial light, baiting brown and black bears, killing wolves and coyotes with pups during their denning season, killing swimming caribou or killing caribou from a motorboat, and using dogs to hunt black bears.<br/><br/>Allowing the use of brutal hunting tactics on highly vulnerable wildlife, such as denning mothers and cubs, is not only unconscionable, but also unlawful. Congress provided a clear directive to the National Park Service to ""provide for the maintenance of sound populations of, and habitat for, wildlife species of inestimable value to the citizens of Alaska and the Nation"" for the ""benefit, use, education, and inspiration of present and future generations"" (16 U.S.C. 3101(a)). These extreme hunting methods, which are neither used nor endorsed by the majority of sport hunters, violate this directive.<br/><br/>These barbaric, scientifically baseless, and unnecessary tactics decimate predators on public lands and undermine protection of natural diversity solely to boost numbers of prey species and cater to trophy hunters. Predators play a critically important role in an ecosystem, ensuring both diversity and proper ecosystem function. Brutal hunting methods such as baiting, hounding, killing young animals, and killing animals at their den sites should have no place on national preserve lands.<br/><br/>The 2015 NPS rule is consistent with federal law and the best available science, was subject to public review and comment, and outlaws only the most extreme hunting tactics in Alaska. I strongly encourage NPS to reject this deeply troubling proposal, and urge the agency to keep the 2015 prohibitions in place.",,,
DOT-OST-2024-0065-7390,Comment from Pedro Palomino,"Dear Secretary Buttigieg, <br/><br/>I urge your support for the allocation of one slot pair to Southwest Airlines so that it can begin daily nonstop service between Ronald Reagan Washington National Airport (DCA) and Harry Reid International Airport (LAS). <br/><br/>Las Vegas is a destination that is in high demand. The variety of national and international events ranging from major sporting events to concerts to conventions are attracting a record number of visitors and diverse clientele to our community--all centered around the vibrant Las Vegas Strip. In 2023, 57.6 million people traveled to Las Vegas through Harry Reid International Airport breaking travel records. <br/><br/>Currently, there is only one roundtrip flight option between DCA and LAS daily. Adding a second DCA slot pair for DCA-LAS will augment travel options and open the Las Vegas market. By injecting Southwest competition into a market like DCA-LAS, it will produce lower airfares. With one additional roundtrip flight, the Department of Transportation (DOT) will enhance competition, expand access, and decrease ticket prices, offering travelers more convenient and affordable travel options to and from Las Vegas.<br/><br/>I strongly urge DOT to favorably consider Southwest's application under Docket DOT-OST-2024-0065 to provide daily and direct roundtrip service between DCA and Las Vegas. This will positively stimulate robust competition within the DCA-LAS market. Thank you for your consideration. <br/><br/>Sincerely,<br/><br/>Pedro Palomino<br/>North Las Vegas,NV<br/>Pfpzepeda93@gmail.com",,,
NPS-2018-0007-24970,Comment on FR Doc # 2018-17386,Please protect our rights to peaceful assembly. ,,,
FDA-2022-N-0082-34386,"Comment from Michniak, Amy","I respectfully request you vote ""No"" in approving the Covid shots for babies as young as 6 months old. Babies and young children have no need of these shots as they have a 99.995% survival rate should they develop Covid. The risk from receiving the shot is much higher than getting Covid itself and the shots have NOT been properly studied. ",,,
USCIS-2021-0006-4287,Comment Submitted by Padma Danturty,"While I support that the Department of Homeland Securitys (DHS) proposed rule, Deferred Action for Childhood Arrivals, DHS Docket No. 2021-0006, aims to preserve and fortify the the Deferred Action for Childhood Arrival (DACA) policy, I do not believe it goes far enough protect who it should protect.  DACA does not go far enough to protect young immigrants of this country because it leaves out an important group: children of parents on long term work visas. Children who also came to America at a very young age, who grew up here, and are facing self-deportation are not covered by DACA because they documented. This is an extreme injustice to a large group of children who also call America their home. To learn more, visit https://www.improvethedream.org/",,,
AMS-TM-17-0050-12339,"Mcgee, Jeanene: ",PLEASE LABEL GMO FOOD. Thank you ,,,
NHTSA-2002-11419-14209,Gayle Carson - Comments,I am upset about the NHTSA proposed fuel economy standards because NOt enough is being done to urge industry into looking at sources of energy other than oil.  This has political as well as environmental ramifications.<br/><br/>It is important to reduce oil consumption from light trucks today because It's important to reduce our all forms of oil consumtion.  Light trucks are just the most visible example of how we squander our resources.,,,
