date,num_of_comments
2025-06-05,11175
2025-06-04,3624
2025-06-03,3715
2025-06-02,3395
2025-06-01,0
2025-05-31,0
2025-05-30,2471
2025-05-29,9659
2025-05-28,11206
2025-05-27,3610
2025-05-26,233
2025-05-25,0
2025-05-24,0
2025-05-23,12479
2025-05-22,4342
2025-05-21,16525
2025-05-20,32950
2025-05-19,55312
2025-05-18,500
2025-05-17,201
2025-05-16,42986
2025-05-15,15795
2025-05-14,15129
2025-05-13,5054
2025-05-12,23464
2025-05-11,296
2025-05-10,0
2025-05-09,47467
2025-05-08,11569
2025-05-07,36554
2025-05-06,12231
2025-05-05,4753
2025-05-04,0
2025-05-03,76
2025-05-02,2680
2025-05-01,927
2025-04-30,3059
2025-04-29,357
2025-04-28,373
2025-04-27,0
2025-04-26,0
2025-04-25,936
2025-04-24,8107
2025-04-23,4075
2025-04-22,5707
2025-04-21,6699
2025-04-20,6268
2025-04-19,11
2025-04-18,192
2025-04-17,9409
2025-04-16,10155
2025-04-15,1881
2025-04-14,13157
2025-04-13,314
2025-04-12,0
2025-04-11,6271
2025-04-10,3604
2025-04-09,10502
2025-04-08,5885
2025-04-07,4875
2025-04-06,179
2025-04-05,3
2025-04-04,12955
2025-04-03,5503
2025-04-02,1162
2025-04-01,1656
2025-03-31,4264
2025-03-30,2
2025-03-29,0
2025-03-28,21756
2025-03-27,9596
2025-03-26,2607
2025-03-25,11733
2025-03-24,47082
2025-03-23,317
2025-03-22,0
2025-03-21,2511
2025-03-20,5299
2025-03-19,3372
2025-03-18,2269
2025-03-17,2156
2025-03-16,853
2025-03-15,3
2025-03-14,1459
2025-03-13,3916
2025-03-12,8329
2025-03-11,9157
2025-03-10,8948
2025-03-09,20535
2025-03-08,0
2025-03-07,5240
2025-03-06,8248
2025-03-05,11021
2025-03-04,17401
2025-03-03,11115
2025-03-02,2223
2025-03-01,703
2025-02-28,1231
2025-02-27,3905
2025-02-26,1269
2025-02-25,1719
2025-02-24,12494
2025-02-23,16173
2025-02-22,3
2025-02-21,9732
2025-02-20,7493
2025-02-19,943
2025-02-18,17814
2025-02-17,9802
2025-02-16,3
2025-02-15,0
2025-02-14,11398
2025-02-13,6568
2025-02-12,5461
2025-02-11,7191
2025-02-10,14577
2025-02-09,644
2025-02-08,0
2025-02-07,6612
2025-02-06,11511
2025-02-05,7924
2025-02-04,13597
2025-02-03,6709
2025-02-02,14799
2025-02-01,28
2025-01-31,4427
2025-01-30,16004
2025-01-29,4619
2025-01-28,12174
2025-01-27,17928
2025-01-26,173
2025-01-25,2
2025-01-24,9038
2025-01-23,1529
2025-01-22,5379
2025-01-21,29514
2025-01-20,545
2025-01-19,2
2025-01-18,7
2025-01-17,24866
2025-01-16,5163
2025-01-15,7369
2025-01-14,2453
2025-01-13,3651
2025-01-12,5328
2025-01-11,0
2025-01-10,3668
2025-01-09,213
2025-01-08,1180
2025-01-07,2245
2025-01-06,4437
2025-01-05,625
2025-01-04,0
2025-01-03,995
2025-01-02,1412
2025-01-01,64
2024-12-31,830
2024-12-30,1549
2024-12-29,690
2024-12-28,0
2024-12-27,3417
2024-12-26,11559
2024-12-25,184
2024-12-24,50
2024-12-23,3187
2024-12-22,1232
2024-12-21,29
2024-12-20,3768
2024-12-19,4971
2024-12-18,1061
2024-12-17,3919
2024-12-16,8319
2024-12-15,169
2024-12-14,3
2024-12-13,14804
2024-12-12,7831
2024-12-11,5438
2024-12-10,3155
2024-12-09,31104
2024-12-08,8
2024-12-07,3
2024-12-06,1561
2024-12-05,1175
2024-12-04,397
2024-12-03,615
2024-12-02,1309
2024-12-01,4
2024-11-30,5
2024-11-29,1345
2024-11-28,9
2024-11-27,3929
2024-11-26,3350
2024-11-25,7509
2024-11-24,208
2024-11-23,318
2024-11-22,1905
2024-11-21,2152
2024-11-20,549
2024-11-19,1252
2024-11-18,15601
2024-11-17,188
2024-11-16,222
2024-11-15,4257
2024-11-14,522
2024-11-13,1606
2024-11-12,7747
2024-11-11,4
2024-11-10,0
2024-11-09,0
2024-11-08,5052
2024-11-07,6442
2024-11-06,6253
2024-11-05,1487
2024-11-04,4593
2024-11-03,46
2024-11-02,0
2024-11-01,606
2024-10-31,16076
2024-10-30,608
2024-10-29,876
2024-10-28,1627
2024-10-27,4
2024-10-26,305
2024-10-25,4490
2024-10-24,1078
2024-10-23,1116
2024-10-22,1370
2024-10-21,1808
2024-10-20,269
2024-10-19,22
2024-10-18,801
2024-10-17,2705
2024-10-16,1611
2024-10-15,3704
2024-10-14,36
2024-10-13,1
2024-10-12,0
2024-10-11,2279
2024-10-10,4049
2024-10-09,11252
2024-10-08,3822
2024-10-07,2799
2024-10-06,5
2024-10-05,3
2024-10-04,12002
2024-10-03,720
2024-10-02,1819
2024-10-01,1105
2024-09-30,12419
2024-09-29,6
2024-09-28,0
2024-09-27,12903
2024-09-26,42378
2024-09-25,33081
2024-09-24,42648
2024-09-23,31356
2024-09-22,7
2024-09-21,13
2024-09-20,2502
2024-09-19,2382
2024-09-18,744
2024-09-17,968
2024-09-16,1662
2024-09-15,41
2024-09-14,0
2024-09-13,7551
2024-09-12,601
2024-09-11,1730
2024-09-10,41214
2024-09-09,41427
2024-09-08,1097
2024-09-07,524
2024-09-06,2403
2024-09-05,21812
2024-09-04,2040
2024-09-03,933
2024-09-02,1541
2024-09-01,0
2024-08-31,13
2024-08-30,819
2024-08-29,1291
2024-08-28,1448
2024-08-27,3115
2024-08-26,9648
2024-08-25,46
2024-08-24,81
2024-08-23,4482
2024-08-22,2900
2024-08-21,1834
2024-08-20,2852
2024-08-19,7179
2024-08-18,334
2024-08-17,4
2024-08-16,2373
2024-08-15,3690
2024-08-14,3119
2024-08-13,34141
2024-08-12,5022
2024-08-11,345
2024-08-10,0
2024-08-09,3423
2024-08-08,1553
2024-08-07,2708
2024-08-06,1155
2024-08-05,5352
2024-08-04,6
2024-08-03,0
2024-08-02,2110
2024-08-01,2421
2024-07-31,1837
2024-07-30,1963
2024-07-29,5296
2024-07-28,47
2024-07-27,3
2024-07-26,1971
2024-07-25,522
2024-07-24,448
2024-07-23,3274
2024-07-22,4989
2024-07-21,823
2024-07-20,486
2024-07-19,1290
2024-07-18,3964
2024-07-17,2157
2024-07-16,3080
2024-07-15,2516
2024-07-14,175
2024-07-13,239
2024-07-12,4993
2024-07-11,3371
2024-07-10,5684
2024-07-09,3022
2024-07-08,1220
2024-07-07,221
2024-07-06,222
2024-07-05,889
2024-07-04,246
2024-07-03,4101
2024-07-02,562
2024-07-01,1234
2024-06-30,108
2024-06-29,300
2024-06-28,4317
2024-06-27,4333
2024-06-26,1581
2024-06-25,4677
2024-06-24,1750
2024-06-23,741
2024-06-22,252
2024-06-21,1921
2024-06-20,2415
2024-06-19,1277
2024-06-18,1762
2024-06-17,2507
2024-06-16,461
2024-06-15,115
2024-06-14,1044
2024-06-13,1341
2024-06-12,1534
2024-06-11,2475
2024-06-10,2035
2024-06-09,196
2024-06-08,1511
2024-06-07,3696
2024-06-06,2502
2024-06-05,1176
2024-06-04,1722
2024-06-03,1407
2024-06-02,274
2024-06-01,496
2024-05-31,2564
2024-05-30,1652
2024-05-29,2926
2024-05-28,1708
2024-05-27,673
2024-05-26,449
2024-05-25,280
2024-05-24,1208
2024-05-23,3832
2024-05-22,5697
2024-05-21,6189
2024-05-20,3048
2024-05-19,153
2024-05-18,0
2024-05-17,5395
2024-05-16,421
2024-05-15,888
2024-05-14,1205
2024-05-13,1141
2024-05-12,246
2024-05-11,34
2024-05-10,2541
2024-05-09,2265
2024-05-08,2517
2024-05-07,2651
2024-05-06,5049
2024-05-05,491
2024-05-04,7
2024-05-03,55214
2024-05-02,4335
2024-05-01,975
2024-04-30,1634
2024-04-29,2997
2024-04-28,10
2024-04-27,1
2024-04-26,2468
2024-04-25,1324
2024-04-24,3430
2024-04-23,6305
2024-04-22,2255
2024-04-21,23
2024-04-20,0
2024-04-19,372
2024-04-18,517
2024-04-17,446
2024-04-16,832
2024-04-15,5973
2024-04-14,52
2024-04-13,13
2024-04-12,1241
2024-04-11,641
2024-04-10,1057
2024-04-09,3960
2024-04-08,3372
2024-04-07,19
2024-04-06,70
2024-04-05,2685
2024-04-04,4165
2024-04-03,1993
2024-04-02,1684
2024-04-01,2284
2024-03-31,405
2024-03-30,5
2024-03-29,4048
2024-03-28,2071
2024-03-27,1996
2024-03-26,1081
2024-03-25,4139
2024-03-24,69
2024-03-23,5
2024-03-22,1389
2024-03-21,3137
2024-03-20,8303
2024-03-19,787
2024-03-18,539
2024-03-17,17
2024-03-16,583
2024-03-15,341
2024-03-14,297
2024-03-13,4524
2024-03-12,7207
2024-03-11,848
2024-03-10,23
2024-03-09,0
2024-03-08,1707
2024-03-07,869
2024-03-06,8512
2024-03-05,12567
2024-03-04,25328
2024-03-03,8
2024-03-02,16400
2024-03-01,10629
2024-02-29,5778
2024-02-28,9814
2024-02-27,5166
2024-02-26,4042
2024-02-25,220
2024-02-24,6
2024-02-23,1929
2024-02-22,5393
2024-02-21,5044
2024-02-20,17379
2024-02-19,177
2024-02-18,13
2024-02-17,200
2024-02-16,10270
2024-02-15,768
2024-02-14,1634
2024-02-13,3893
2024-02-12,2374
2024-02-11,4
2024-02-10,0
2024-02-09,6435
2024-02-08,980
2024-02-07,7327
2024-02-06,18516
2024-02-05,2409
2024-02-04,119
2024-02-03,1817
2024-02-02,4829
2024-02-01,1058
