docketId,title,rulemaking
EBSA-2005-0001,Extension of Certain Time Frames for Employee Benefit Plans Affected by Hurricane Katrina,Nonrulemaking
NASA-2005-0001,NASA Advisory Committee; Notice of Renewal,Nonrulemaking
DOD-2005-0002,Defense Federal Acquisition Regulation Supplement; Export- Controlled Information and Technology,Nonrulemaking
DOD-2005-0003,Defense Federal Acquisition Regulation Supplement; Transportation,Nonrulemaking
DOD-2005-0004,Defense Federal Acquisition Regulation Supplement; Levy on Payments to Contractors,Nonrulemaking
DOD-2005-0005,Defense Federal Acquisition Regulation Supplement; Sole Source 8(a) Awards to Small Business Concerns Owned by Native Hawaiian Organizations,Nonrulemaking
RHS-2005-0001,Surety Requirements,Nonrulemaking
DOD-2005-0006,Federal Acquisition Regulation; Government Property,Nonrulemaking
NASA-2005-0002,Federal Acquisition Regulation; Confirmation of HUBZone Certification,Nonrulemaking
EBSA-2005-0002,Electronic Filing of Annual Reports,Nonrulemaking
USTR-2005-0001,Notice of Meeting of the Industry Trade Advisory Committee on Small and Minority Business (ITAC-11),Nonrulemaking
DOD-2005-0007,Defense Federal Acquisition Regulation Supplement; Business Restructuring Costs--Delegation of Authority To Make Determinations Relating to Payment,Nonrulemaking
DOD-2005-0008,Defense Federal Acquisition Regulation Supplement; Exchange or Sale of Government-Owned Information Technology,Nonrulemaking
DOD-2005-0009,Defense Federal Acquisition Regulation Supplement; Acquisition Planning,Nonrulemaking
DOD-2005-0010,Defense Federal Acquisition Regulation Supplement; Special Contracting Methods,Nonrulemaking
DOD-2005-0011,Defense Federal Acquisition Regulation Supplement; Notification Requirements for Critical Safety Items,Nonrulemaking
DOD-2005-0012,Federal Acquisition Regulation; OMB Circular A-76,Nonrulemaking
DOD-2005-0013,36(b)(1)Arms Sales Notification,Nonrulemaking
EAB-2005-0001,"Direct Investment Surveys: BE-11, Annual Survey of U.S. Direct Investment Abroad",Nonrulemaking
MSHA-2005-0001,"Fees for Testing, Evaluation, and Approval of Mining Products",Nonrulemaking
NASA-2005-0003,Federal Acquisition Regulation; Government Property,Nonrulemaking
RUS-2005-0001,"Telecommunications Policies on Specifications, Acceptable Materials, and Standard Contract Forms",Nonrulemaking
DOD-2005-0014,Department of Defense Privacy Program,Nonrulemaking
DOD-2005-0015,TRICARE; Changes Included in the National Defense Authorization Act for Fiscal Year 2005; TRICARE Dental Program,Nonrulemaking
DOD-2005-0016,Federal Acquisition Regulation; Definition of Information Technology,Nonrulemaking
NASA-2005-0004,Federal Acquisition Regulation; Definition of Information Technology,Nonrulemaking
DOD-2005-0017,Defense Federal Acquisition Regulation Supplement; Acquisition of Information Technology,Nonrulemaking
DOD-2005-0018,Defense Federal Acquisition Regulation Supplement; Types of Contracts,Nonrulemaking
DOD-2005-0019,Defense Federal Acquisition Regulation Supplement; Training for Contractor Personnel Interacting With Detainees,Nonrulemaking
DOD-2005-0020,Federal Acquisition Regulation; Confirmation of HUBZone Certification,Nonrulemaking
DOD-2005-0021,36(b)(1) Arms Sales Notification,Nonrulemaking
FSIS-2005-0002,Allowing Bar-Type Cut Turkey Operations To Use J-Type Cut Maximum Line Speeds,Nonrulemaking
DOD-2005-0022,36(b)(1) Arms Sales Notification,Nonrulemaking
DOD-2005-0023,Revitalizing Base Closure Communities and Addressing Impacts of Realignment,Nonrulemaking
FSA-2005-0001,Appeal Procedures,Nonrulemaking
FSIS-2005-0003,Notice of a Section 610 Regulatory Flexibility Act Review of the Pathogen Reduction/Hazard Analysis Critical Control Point (HACCP) Systems Final Rule,Nonrulemaking
FSA-2005-0002,Guaranteed Loans--Retaining PLP Status and Payment of Interest Accrued During Bankruptcy and Redemption Rights Periods,Nonrulemaking
NASA-2005-0005,Federal Acquisition Regulation; OMB Circular A-76,Nonrulemaking
USN-2005-0001,"Meeting of the Board of Advisors (BOA) to the President, Naval Postgraduate School (NPS)",Nonrulemaking
NSF-2005-0002,Notice of Intent To Prepare a Programmatic Environmental Impact Statement/Overseas Environmental Impact Statement for the National Science Foundation To Address Potential Impacts on the Marine Environment Related to the Use of Seismic Sources in Support of NSF- Funded Research by U.S. Academic Scientists.,Nonrulemaking
USN-2005-0002,"Notice of Intent To Grant Partially Co-Exclusive Patent Licenses; Southeastern Resources Management LLC, GCS Research LLC, and Sabeus Inc.",Nonrulemaking
DOL-2005-0003,"September 15, 2005.   The Department of Labor (DOL) has submitted the following public information collection request (ICR) to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995 (Pub. L. 104-13, 44 U.S.C. chapter 35). A copy of this ICR, with applicable supporting documentation, may be obtained by contacting the Department of La",Nonrulemaking
ARS-2005-0001,National Arboretum,Nonrulemaking
DOL-2005-0004,"September 14, 2005.   The Department of Labor (DOL) has submitted the following public information collection request (ICR) to the Office of Management and Budget (OMB) for review and approval in accordance with the Paperwork Reduction Act of 1995 (Pub. L. 104-13, 44 U.S.C. chapter 35). A copy of this ICR, with applicable supporting documentation, may be obtained by contacting Darrin King on 202-6",Nonrulemaking
NSF-2005-0003,Notice of Permit Applications Received Under the Antarctic Conservation Act of 1978,Nonrulemaking
WAPA-2005-0001,Pick-Sloan Missouri Basin Program--Eastern Division Transmission and Ancillary Services-Rate Order No. WAPA-122,Nonrulemaking
DOD-2005-0024,Administration and Support Basic Research,Nonrulemaking
ETA-2005-0001,Type of Review: New.,Nonrulemaking
HHS-2005-0002,HIPAA Administrative Simplification: Standards for Electronic Health Care Claims Attachments,Nonrulemaking
NASA-2005-0006,Federal Acquisition Regulation; Information Collection; Indirect Cost Rates,Nonrulemaking
FSA-2005-0003,Guaranteed Farm Ownership and Operating Loan Requirements,Nonrulemaking
DOD-2005-0025,Federal Acquisition Regulation; Additional Contract Types,Nonrulemaking
DOD-2005-0026,Federal Acquisition Regulation; Payments Under Time-and-Materials and Labor-Hour Contracts,Nonrulemaking
NASA-2005-0007,Federal Acquisition Regulation; Payments Under Time-and-Materials and Labor-Hour Contracts,Nonrulemaking
NASA-2005-0008,Federal Acquisition Regulation; Additional Contract Types,Nonrulemaking
NASA-2005-0009,Notice of Information Collection,Nonrulemaking
DOD-2005-0027,Federal Acquisition Regulation; Information Collection; Indirect Cost Rates,Nonrulemaking
NSF-2005-0007,Notice of Permits Issued Under the Antarctic Conservation Act of 1978,Nonrulemaking
USA-2005-0002,"Notice of Availability (NOA) for the Record of Decision (ROD) for Activities Associated With FuturePrograms at the U.S. Army Dugway Proving Ground (DPG), Utah",Nonrulemaking
ARS-2005-0002,National Agricultural Library; Notice of Intent To Seek Approval To Collect Information,Nonrulemaking
HHS-2005-0003,Emergency Clearance: Public Information Collection Requirements,Nonrulemaking
USA-2005-0003,Privacy Act of 1974; System of Records,Nonrulemaking
ESA-2005-0002,"The Department of Labor seeks the approval of the extension of this information collection in order to carry out its responsibility to ensure compliance with the youth employment provisions of the FLSA and its regulations. Without this information, the Administrator wouldhave no means to determine if the proposed program meets the regulatory requirements.   Type of Review: Extension.",Nonrulemaking
DOD-2005-0028,Privacy Act of 1974; System of Records,Nonrulemaking
FSIS-2005-0004,Codex Alimentarius Commission: Meeting of the Codex Committee on Food Import and Export Inspection and Certification Systems,Nonrulemaking
NASA-2005-0010,Notice of Prospective Patent License,Nonrulemaking
FSIS-2005-0005,Treatment of Live Poultry Before Slaughter,Nonrulemaking
ERS-2005-0001,Notice of Intent To Seek Approval To Collect Information,Nonrulemaking
HHS-2005-0005,Office of the National Coordinator; Announcement of the American Health Information Community Members,Nonrulemaking
HHS-2005-0006,Office of the National Coordinator; American Health Information Community Meeting,Nonrulemaking
USTR-2005-0002,Identification of Countries Under Section 182 of the Trade Act of 1974: Request for Public Comment,Nonrulemaking
HHS-2005-0007,Agency Information Collection Activities: Proposed Collection; Comment Request,Nonrulemaking
NASA-2005-0011,Announcement of Contract Awards,Nonrulemaking
DOD-2005-0029,Information Collection Requirement; Defense Federal Acquisition Regulation Supplement; Requests for Equitable Adjustment,Nonrulemaking
DOD-2005-0030,Information Collection Requirement; Defense Federal Acquisition Regulation Supplement; Government Property,Nonrulemaking
DOD-2005-0031,Defense Federal Acquisition Regulation Supplement; Defense Logistics Agency Waiver Authority,Nonrulemaking
NASA-2005-0012,Federal Acquisition Regulation; Implementation of the Anti- Lobbying Statute,Nonrulemaking
MSHA-2005-0002,The information obtained from the contractors is used by MSHA during inspections to determine proper responsibility for compliance with safety and health standards.   Type of Review: Extension.,Nonrulemaking
NASA-2005-0013,Federal Acquisition Regulation; Small Entity Compliance Guide,Nonrulemaking
DOD-2005-0032,Federal Acquisition Regulation; Addition of Landscaping and Pest Control Services to the Small Business Competitiveness Demonstration Program,Nonrulemaking
DOD-2005-0033,Federal Acquisition Regulation; Accounting for Unallowable Costs,Nonrulemaking
DOD-2005-0034,Defense Federal Acquisition Regulation Supplement; Extension of Partnership Agreement--8(a) Program,Nonrulemaking
NASA-2005-0014,Federal Acquisition Regulation; Accounting for Unallowable Costs,Nonrulemaking
NASA-2005-0015,Federal Acquisition Regulation; Powers of Attorney for Bid Bonds,Nonrulemaking
RUS-2005-0002,"Associated Electric Cooperative, Inc.; Notice of Extension of Public Scoping Comment Period",Nonrulemaking
BPA-2005-0001,Availability of the Bonneville Purchasing Instructions (BPI) and Bonneville Financial Assistance Instructions (BFAI),Nonrulemaking
DOD-2005-0035,Notice of the Defense Acquisition Performance Assessment Project Meetings,Nonrulemaking
DOD-2005-0036,Federal Acquisition Regulation; Title 40 of United States Code Reference Corrections,Nonrulemaking
DOD-2005-0037,Federal Acquisition Regulation; Information Technology Security,Nonrulemaking
FAS-2005-0001,Refined Sugar Re-Export Program,Nonrulemaking
