id,title
FWS-R6-ES-2008-0008-39637,Comment on FR Doc # E8-25629
FS-2019-0010-33203,Comment on FR Doc # 2019-12195
HHS-OS-2018-0008-74524,Comment on FR Doc # 2018-11673
DOS-2014-0003-75345,Comment on DOS-2014-0003-0001
USA-2019-HQ-0032-0188,Comment on FR Doc # 2020-17801
BLM-2020-0001-6457,Comment on FR Doc # 2020-07099
DOI-2017-0002-290810,Comment on FR Doc # 2017-09490
HHS-OCR-2018-0002-13847,Comment on FR Doc # 2018-01226
ED-2015-OPE-0103-10452,Comment on FR Doc # 2016-14052
DOS-2010-0339-1080,Comment on DOS-2010-0339-DRAFT-1078
DOS-2014-0003-101788,Comment on DOS-2014-0003-0001
ED-2023-OPE-0123-4308,Comment on FR Doc # 2023-14329
HHS-OS-2021-0010-45071,Comment on FR Doc # 2021-07762
HHS-OS-2019-0014-106767,Comment on FR Doc # 2019-24385
NPS-2018-0005-34958,Comment on FR Doc # 2018-10735
DOI-2017-0002-696327,Comment on FR Doc # 2017-09490
FINCEN-2020-0020-6542,Comment on FR Doc # 2020-28437
EOIR-2020-0003-46333,Comment on FR Doc # 2020-12575
DOI-2017-0002-95135,Comment on FR Doc # 2017-09490
DOI-2017-0002-481466,Comment on FR Doc # 2017-09490
DOI-2017-0002-467360,Comment on FR Doc # 2017-09490
ED-2021-OESE-0033-23415,Comment on FR Doc # 2021-08068
NPS-2018-0007-23539,Comment on FR Doc # 2018-17386
BLM-2018-0001-11899,Comment on FR Doc # 2018-03144
DEA-2023-0029-36571,Comment on FR Doc # 2025-01099
DOI-2017-0002-60021,Comment on FR Doc # 2017-09490
FS-2023-0006-5425,Comment on FR Doc # 2023-08429
FWS-R9-IA-2011-0087-9074,Comment on FR Doc # N/A
FNS-2018-0005-2551,Comment on FR Doc # 2018-04058
CMS-2023-0113-0191,Comment on CMS-2023-0113-0002
NPS-2018-0005-49023,Comment on FR Doc # 2018-10735
CMS-2024-0345-6661,Comment on CMS-2024-0345-0006
BLM-2023-0001-139366,Comment on FR Doc # 2023-06310
BSEE-2018-0002-32321,Comment on BSEE-2018-0002-0001
HHS-OS-2016-0014-75232,Comment on FR Doc # 2016-21359 submitted by Planned Parenthood
BLM-2023-0006-10979,Comment on FR Doc # 2023-18990
DOI-2017-0002-195612,Comment on FR Doc # 2017-09490
VA-2022-VHA-0021-53459,Comment on VA-2022-VHA-0021-0001
HHS-OS-2016-0014-82398,Comment on FR Doc # 2016-21359 submitted by Planned Parenthood
CMS-2020-0072-10017,Comment on CMS-2020-0072-0001
NPS-2018-0005-23473,Comment on FR Doc # 2018-10735
HHS-OS-2021-0010-35400,Comment on FR Doc # 2021-07762
DOS-2014-0003-35948,Comment on DOS-2014-0003-0001
ATF-2023-0002-164474,Comment on FR Doc # 2023-19177
BLM-2018-0001-122691,Comment on FR Doc # 2018-03144
ED-2021-OCR-0166-61674,Comment on FR Doc # 2022-13734
CMS-2020-0088-8067,Comment on CMS-2020-0088-1604
ED-2022-OCR-0143-62554,Comment on FR Doc # 2023-07601
OMB-2019-0002-29599,Comment on FR Doc # 2019-09106
DOI-2017-0002-306032,Comment on FR Doc # 2017-09490
ATF-2023-0002-120492,Comment on FR Doc # 2023-19177
HRSA-2021-0003-0149,Comment on FR Doc # 2021-12545
ED-2021-OCR-0166-199262,Comment on FR Doc # 2022-13734
ATF-2021-0002-44617,Comment on FR Doc # 2021-12176
ATF-2021-0001-22448,Comment on FR Doc # 2021-10058
OFCCP-2019-0003-48935,Comment on FR Doc # 2019-17472
ATF-2018-0001-18817,Comment on FR Doc # 2017-27898
HHS-OCR-2019-0007-104199,Comment on FR Doc # 2019-11512
HHS-OCR-2019-0007-150549,Comment on FR Doc # 2019-11512
FS-2023-0006-37726,Comment on FR Doc # 2023-08429
ED-2018-OCR-0064-9524,Comment on FR Doc # 2018-25314
ATF-2018-0002-59657,Comment on FR Doc # 2018-06292
VA-2024-VHA-0030-0734,Comment on VA-2024-VHA-0030-0001 Monica Guevara-Albino
ATF-2023-0002-152309,Comment on FR Doc # 2023-19177
DOI-2017-0002-771945,Comment on FR Doc # 2017-09490
ATF-2023-0002-350751,Comment on FR Doc # 2023-19177
ATF-2021-0001-186708,Comment on FR Doc # 2021-10058
DEA-2024-0059-33992,Comment on FR Doc # 2024-11137
DOI-2017-0002-553113,Comment on FR Doc # 2017-09490
ED-2016-OESE-0032-2380,Comment on FR Doc # 2016-12451
BLM-2012-0001-4330,Comment on FR Doc # 2012-11304
